Movie Titles,User Ratings,Movie Generes,Cast
Breaking and Re-entering,60,"['action', 'comedy']","['Chen Bolin', 'Cecilia Choi', 'Kent Tsai', 'JC Lin', 'Frederick Lee', 'Kang-Ren Wu', 'Ven Kao', 'McFly Wu', 'Jean Ho']"
The Mouse Trap,26,"['horror', 'thriller', 'comedy']","['Simon Phillips', 'Sophie McIntosh', 'Nick Biskupek', 'James Laurin', 'Mireille Gagné', 'Damir Kovic', 'Calum Sywyk', 'Allegra Nocita', 'Ben Harris']"
Fly Me to the Moon,71,"['romance', 'comedy']","['Scarlett Johansson', 'Channing Tatum', 'Woody Harrelson', 'Ray Romano', 'Jim Rash', 'Anna Garcia', 'Donald Watkins', 'Noah Robbins', 'Christian Clemenson']"
House of Ga'a,59,"['action', 'history']","['Femi Branch', 'Mike Afolarin', 'Funke Akindele', 'Femi Adebayo', 'Ibrahim Chatta', 'Toyin Abraham', ""Jide 'JBlaze' Oyegbile"", 'Bimbo Manuel', 'Lateef Adedimeji']"
Mission: Cross,70,"['action', 'comedy', 'adventure']","['Hwang Jung-min', 'Yum Jung-ah', 'Jeon Hye-jin', 'Jeong Man-sik', 'Kim Chan-hyung', 'Kim Ju-hun', 'Cha Rae-hyung', 'Lee Ho-cheol', 'Kim Jun-han']"
Thelma,70,"['action', 'comedy', 'adventure']","['June Squibb', 'Fred Hechinger', 'Richard Roundtree', 'Parker Posey', 'Clark Gregg', 'Malcolm McDowell', 'Nicole Byer', 'Coral Peña', 'Hilda Boulware']"
Descendants: The Rise of Red,70,"['fantasy', 'adventure', 'family', 'comedy']","['Kylie Cantrall', 'Malia Baker', 'Ruby Rose Turner', 'Morgan Dudley', 'Dara Reneé', 'Rita Ora', 'Brandy Norwood', 'China Anne McClain', 'Joshua Colley']"
Jackpot!,65,"['action', 'comedy', 'science']","['Awkwafina', 'John Cena', 'Simu Liu', 'Ayden Mayeri', 'Donald Watkins', 'Sam Asghari', 'Machine Gun Kelly', 'Seann William Scott', 'Dolly de Leon']"
Justice League: Crisis on Infinite Earths Part Three,74,"['animation', 'science', 'action']","['Jensen Ackles', 'Darren Criss', 'Corey Stoll', 'Gideon Adlon', 'Ike Amadi', 'Geoffrey Arend', 'Troy Baker', 'Brian Bloom', 'Matt Bomer']"
Godzilla x Kong: The New Empire,72,"['science', 'action', 'adventure']","['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns', 'Fala Chen', 'Rachel House', 'Ron Smyck', 'Chantelle Jamieson']"
Alien,82,"['horror', 'science']","['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright', 'Harry Dean Stanton', 'John Hurt', 'Ian Holm', 'Yaphet Kotto', 'Bolaji Badejo', 'Helen Horton']"
Non Negotiable,60,"['action', 'thriller', 'comedy', 'drama']","['Mauricio Ochmann', 'Leonardo Ortizgris', 'Enoc Leaño', 'Tato Alexander', 'Claudette Maillé', 'Gonzalo Vega Jr.', 'Daniel Garcia', 'Fernanda Borches', 'Cristina Michaus']"
The Ministry of Ungentlemanly Warfare,72,"['action', 'comedy', 'war']","['Henry Cavill', 'Eiza González', 'Alan Ritchson', 'Henry Golding', 'Cary Elwes', 'Alex Pettyfer', 'Hero Fiennes Tiffin', 'Babs Olusanmokun', 'Henry Zaga']"
The King Tide,71,"['thriller', 'mystery', 'fantasy']","['Frances Fisher', 'Clayne Crawford', 'Lara Jean Chorostecki', 'Aden Young', 'Alix West Lefler', 'Michael Greyeyes', 'Ryan McDonald', 'Kathryn Greenwood', 'Emily Piggford']"
Kung Fu Panda 4,71,"['animation', 'family', 'fantasy', 'action']","['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng']"
My Fault,80,"['drama', 'romance']","['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez', 'Eva Ruiz', 'Víctor Varona', 'Fran Berenguer', 'Adriana Ubani', 'Ivan Massagué']"
The Union,63,"['action', 'comedy']","['Mark Wahlberg', 'Halle Berry', 'J.K. Simmons', 'Mike Colter', 'Adewale Akinnuoye-Agbaje', 'Jessica De Gouw', 'Alice Lee', 'Jackie Earle Haley', 'Stephen Campbell Moore']"
Escape from the 21st Century,69,"['science', 'comedy']","['Zhang Ruoyun', 'Zhong Chuxi', 'Song Yang', 'Wu Xiaoliang', 'Zhu Yanmanzi', 'Leon Lee', 'Wen Zhengrong', 'Shi Liang', 'Yichen Chen']"
Avengers: Infinity War,82,"['adventure', 'action', 'science']","['Robert Downey Jr.', 'Chris Evans', 'Chris Hemsworth', 'Josh Brolin', 'Mark Ruffalo', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland']"
Civil War,70,"['war', 'action', 'drama']","['Kirsten Dunst', 'Wagner Moura', 'Cailee Spaeny', 'Stephen McKinley Henderson', 'Nelson Lee', 'Nick Offerman', 'Jefferson White', 'Evan Lai', 'Vince Pisani']"
